aX	aY	aZ	gX	gY	gZ	
0.8951	1.3705	-0.2711	784.6680	91.8579	34.4849
0.5896	0.9705	-0.2954	703.3691	34.7900	30.6396
0.3163	0.1309	-0.2124	561.2183	-1.8311	30.5176
0.2195	-0.2571	-0.1877	378.3569	-19.7754	20.0806
0.0934	-0.2899	-0.1639	185.7300	-35.6445	-1.2817
-0.1610	-0.0730	-0.0110	16.4185	-44.7998	-31.5552
-0.1843	0.2511	0.1261	-101.8677	-45.8984	-58.5938
-0.0364	0.4421	0.1108	-164.4287	-46.2646	-69.5801
-0.2008	0.5164	0.1509	-190.7959	-47.4854	-69.8242
-0.4138	0.5691	0.1371	-198.9746	-44.6167	-63.7817
-0.5227	0.6038	0.2112	-197.3267	-35.1563	-54.7485
-0.5466	0.6354	0.3700	-187.6221	-14.9536	-44.1284
-0.5153	0.6550	0.5032	-168.3350	13.6108	-36.6211
-0.4188	0.6366	0.5789	-145.2637	39.6118	-34.9731
-0.2808	0.5986	0.5961	-126.5259	55.5420	-36.4380
-0.1624	0.5717	0.5895	-116.5771	58.8379	-39.5508
-0.1067	0.5833	0.5731	-115.0513	53.1616	-42.8467
-0.0708	0.5853	0.5481	-119.2017	44.1895	-43.9453
-0.0161	0.6060	0.4993	-126.2817	35.5225	-44.9219
0.0133	0.6475	0.4594	-136.4746	23.9868	-41.9312
-0.0289	0.7144	0.4290	-148.6816	12.0239	-36.3159
-0.0803	0.7920	0.4183	-161.2549	1.0986	-30.7007
-0.1226	0.8563	0.4260	-171.6309	-5.8594	-27.0386
-0.1522	0.9076	0.4186	-177.3682	-6.2866	-23.5596
-0.1489	0.9136	0.4164	-178.7720	-1.6479	-20.5078
-0.1453	0.9158	0.4153	-179.4434	2.6855	-18.5547
-0.1501	0.9257	0.4185	-179.2603	6.1035	-17.0898
-0.1351	0.9314	0.4312	-177.8564	8.9111	-15.9302
-0.1133	0.9396	0.4464	-175.5981	12.0850	-14.8926
-0.0988	0.9467	0.4507	-170.5933	15.3809	-14.5874
-0.0568	0.9453	0.4438	-163.5132	16.9067	-14.5874
0.0048	0.9534	0.4473	-155.5786	13.8550	-14.7705
0.0349	0.9647	0.4792	-145.9351	4.7607	-15.1978
-0.0093	0.9768	0.4794	-132.6294	-8.5449	-14.8315
