aX	aY	aZ	gX	gY	gZ	
-0.0459	-0.9254	0.1288	223.9990	126.4648	69.3970
0.0189	-0.9551	0.0963	225.9521	123.1079	66.2842
0.0503	-0.9669	0.0764	227.2339	111.9995	64.6362
0.0215	-0.9567	0.0365	227.6611	96.2524	62.6221
-0.0406	-0.9470	-0.0122	227.1118	83.1909	62.0117
-0.0839	-0.9551	-0.0634	226.9287	73.3032	63.1714
-0.0745	-0.9517	-0.1311	226.0742	68.9087	63.9648
-0.0507	-0.9514	-0.1818	223.8770	69.2749	62.0117
-0.0275	-0.9661	-0.2524	221.6187	70.9229	58.9600
-0.0179	-0.9957	-0.3435	215.8203	69.8242	56.2744
0.0034	-1.0161	-0.4055	203.8574	66.3452	53.1006
0.0574	-1.0258	-0.4308	185.7300	59.7534	51.0864
0.0928	-1.0471	-0.4537	165.8325	49.0112	50.4761
0.1146	-1.0674	-0.4470	144.1650	35.8887	49.6216
0.0929	-1.0720	-0.4550	122.8027	19.5923	47.7905
0.0305	-1.0546	-0.4365	102.2949	4.8828	45.2271
0.0243	-1.0074	-0.4237	86.1816	-4.1504	43.4570
0.0090	-0.9950	-0.4724	75.8667	-6.5308	41.7480
-0.0032	-0.9928	-0.5023	66.3452	-1.7090	39.9780
0.0065	-0.9810	-0.4764	58.2275	10.8643	37.8418
0.0338	-0.9792	-0.4581	51.9409	23.2544	34.9731
0.0521	-0.9866	-0.4583	47.3022	27.8931	33.0200
0.0548	-0.9863	-0.4906	43.0908	29.4800	31.7383
0.0598	-0.9773	-0.4849	38.5742	32.5928	28.0762
0.0941	-0.9554	-0.4827	36.2549	34.4238	23.0713
0.1085	-0.9375	-0.4948	38.1470	33.7524	17.8833
0.1091	-0.9369	-0.5209	41.3208	32.4097	14.0381
0.1014	-0.9628	-0.5828	42.4194	29.1748	11.0474
0.0884	-0.9839	-0.6228	37.7197	24.2310	7.9346
0.0280	-0.9923	-0.6345	28.5034	20.6299	4.5166
0.0050	-0.9753	-0.6639	20.1416	21.7285	0.5493
0.0210	-0.9547	-0.7004	13.5498	24.8413	-1.2207
0.0508	-0.9688	-0.7126	6.0425	29.2358	-2.5024
0.0872	-0.9875	-0.7043	-3.1128	33.8745	-5.0049
0.0876	-1.0043	-0.7479	-12.0239	31.9824	-7.1411
0.0945	-1.0527	-0.8879	-25.0244	23.6816	-9.2773
0.1699	-1.1163	-1.0078	-49.5605	12.4512	-14.8315
0.1803	-1.1738	-1.0938	-88.9282	-1.8311	-22.7661
0.1389	-1.2008	-1.1625	-137.8174	-16.7847	-34.9121
0.1211	-1.2162	-1.2968	-192.1387	-33.3252	-49.6216
0.1564	-1.2175	-1.4521	-253.2349	-52.7954	-64.6362
0.1770	-1.1956	-1.4424	-321.2891	-77.3926	-79.5898
0.1937	-1.1060	-1.3784	-382.0190	-104.5532	-97.1680
0.1870	-0.9924	-1.3076	-429.4434	-136.5967	-111.3281
0.1774	-0.9419	-1.2084	-466.5527	-166.1377	-120.4834
0.1656	-0.8508	-1.0818	-499.5117	-189.0259	-132.3242
0.1146	-0.6792	-0.9202	-531.4331	-205.9937	-147.9492
0.0795	-0.4626	-0.5417	-556.5186	-219.4824	-166.3818
0.0472	-0.3600	-0.4105	-562.0728	-233.2153	-182.0679
-0.0315	-0.2042	-0.1885	-564.3311	-241.5771	-197.6929
-0.3264	0.0795	0.2578	-560.5469	-244.2627	-213.8672
-0.8153	0.2307	0.7811	-529.8462	-235.2905	-224.7314
-1.1139	0.3649	1.2423	-469.6045	-204.6509	-215.2100
